CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DSIDC,1304_DSIDC_19464829,4/3/2020 8:06,4/3/2020 8:20,HT ABC Fault,HT ABC Insulation Damaged/ Failed,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DSIDC,NA,4/3/2020 9:06,4/3/2020 9:30,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1304,PUSA GRID,NCAP,NA,4/13/2020 11:50,4/13/2020 12:15,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),1301_DELTON 24 NG ROAD S/STN (O/D)_19472809,4/16/2020 7:48,4/16/2020 8:25,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),1301_DELTON 24 NG ROAD S/STN (O/D)_19472809,4/16/2020 8:32,4/16/2020 9:10,O/H Fault,Birdage,,,,
CITY CIRCLE,MOTI NAGAR,1301,SB MILL GRID,DELTON 24 NG ROAD S/STN (O/D),NA,4/16/2020 8:51,4/16/2020 9:05,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,RAMA ROAD GRID,70 RAMA ROAD,"1301_70, RAMA ROAD_19468513",4/16/2020 9:38,4/16/2020 9:55,O/H Fault,Tree fault,,,,
CITY CIRCLE,MOTI NAGAR,1301,RAMA ROAD GRID,51 RAMA ROAD,1301_41 RAMA ROAD_19468675,4/16/2020 11:07,4/16/2020 11:25,O/H Fault,Tree fault,,,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR GRID,5/31 KIRTI NAGAR IND. AREA,NA,4/17/2020 1:21,4/17/2020 2:20,O/H Fault,HT Jumper burnt,,,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR GRID,5/31 KIRTI NAGAR IND. AREA,NA,4/17/2020 4:16,4/17/2020 5:40,O/H Fault,HT Jumper burnt,,,,
CITY CIRCLE,MOTI NAGAR,1301,KIRTI NAGAR GRID,5/31 KIRTI NAGAR IND. AREA,MTN_90192358,4/17/2020 5:55,4/17/2020 6:30,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DSIDC,1304_DSIDC_19464829,4/17/2020 10:08,4/17/2020 11:20,SW. Gear fault,CT/ PT unit Failure,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DSIDC,1304_DSIDC_19464829,4/17/2020 10:21,4/17/2020 12:05,O/H Fault,Insulator faulty,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DSIDC,NA,4/17/2020 10:39,4/17/2020 13:37,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,NEERI PH-1 S/S,1302_C - BLK NIA PH-1_19464914,4/17/2020 11:01,4/17/2020 12:20,O/H Fault,Insulator faulty,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,NEERI PH-1 S/S,NA,4/17/2020 10:49,4/17/2020 11:56,NA,NA,,,,
